MEDIA_ID,MEDIA_NAME,CNT,TIME(2022/04/12 15:29:02.698),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,HRP,TTL0,TTL1,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,VID_FRAME
10,d73e0e.jpg,1,0.0166,172920214893,0.54406,0.13432,0,0.01661,1,1,0.58213,0.20774,1,0.37396,0.06583,0,,0.25194,0.72469,13.92527,1.09604,1,0.60144,0.72532,14.46417,1.11417,1,0,0,6,3.90791,1,4.29692,1,0,0,0,0,0,0,0,1,1,0,0,0,,0,0,0
10,d73e0e.jpg,15,0.24805,172922526851,0.51071,0.20215,0.0332,0.21484,2,1,0.47358,0.29686,1,0.37292,0.0675,0,,0.24328,0.72903,12.96905,1.13168,1,0.59167,0.72746,13.71863,1.09904,1,0,0,6,3.45999,1,3.73926,1,0,0,0,0,0,0,0,1,1,0,0,0,,103.56351,231.80885,0
10,d73e0e.jpg,29,0.47656,172924813990,0.44344,0.1601,0.2627,0.21387,3,1,0.42261,0.15408,1,0.3599,0.06833,0,,0.22405,0.72883,12.11476,1.15468,1,0.57163,0.72022,13.0802,1.15468,1,0,0,6,3.82039,1,3.81972,1,0,0,0,0,0,0,0,1,1,0,0,0,,138.66548,158.66025,0
10,d73e0e.jpg,42,0.69043,172926951807,0.35793,-0.01449,0.49414,0.19629,4,1,0.32094,-0.07963,1,0.35729,0.06667,0,,0.23955,0.71533,12.34847,1.25746,1,0.58596,0.71093,12.88681,1.25746,1,0,0,6,3.45085,1,3.64484,1,0,0,0,0,0,0,0,1,1,0,0,0,,266.17365,128.08372,0
10,d73e0e.jpg,57,0.93652,172929416609,0.33767,0.01515,0.70703,0.22949,5,1,0.40229,0.0393,1,0.35573,0.06583,0,,0.24179,0.72776,13.32419,1.13168,1,0.58729,0.72305,13.41644,1.16432,1,0,0,6,3.83007,1,4.02263,1,0,0,0,0,0,0,0,1,1,0,0,0,,52.7089,222.43869,0
10,d73e0e.jpg,79,1.29785,172933027797,0.51233,-0.07518,1.00293,0.29492,6,1,0.55054,-0.0495,1,0.35573,0.06583,0,,0.27465,0.72923,12.49112,1.21625,1,0.61725,0.74276,13.26338,1.21625,1,0,0,6,3.40753,1,3.63993,1,0,0,0,0,0,0,0,1,1,0,0,0,,352.43073,17.91266,0
10,d73e0e.jpg,95,1.56055,172935656229,0.47914,-0.02982,1.31445,0.24609,7,1,0.40658,-0.01811,1,0.35573,0.06583,0,,0.26064,0.74002,13.60041,1.21062,1,0.60236,0.74911,13.2197,1.22875,1,0,0,6,3.83895,1,4.05188,1,0,0,0,0,0,0,0,1,1,0,0,0,,83.80743,220.50308,0
10,d73e0e.jpg,110,1.80762,172938123523,0.42651,0.09747,1.57715,0.23047,8,1,0.51066,0.43366,1,0.35573,0.06583,0,,0.26545,0.75077,13.16462,1.20306,1,0.6052,0.75964,13.55951,1.22119,1,0,0,6,3.65614,1,3.51509,1,0,0,0,0,0,0,0,1,1,0,0,0,,183.14742,236.51358,0
10,d73e0e.jpg,131,2.15234,172941573050,0.54686,0.4384,1.87305,0.2793,9,1,0.64044,0.35835,1,0.35573,0.06583,0,,0.27588,0.76658,13.3882,1.24086,1,0.61538,0.77542,14.24023,1.259,1,0,0,6,3.66123,1,3.56133,1,0,0,0,0,0,0,0,1,1,0,0,0,,469.86188,299.4581,0
10,d73e0e.jpg,150,2.46484,172944698599,0.66653,0.4213,2.16895,0.2959,10,1,0.68082,0.40372,1,0.35573,0.06583,0,,0.29881,0.75369,14.44355,1.22119,1,0.63521,0.76567,14.92782,1.23932,1,0,0,6,3.87406,1,3.88477,1,0,0,0,0,0,0,0,1,1,0,0,0,,230.68097,5.10344,0
