MEDIA_ID,MEDIA_NAME,CNT,TIME(2022/04/12 15:19:51.018),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,HRP,TTL0,TTL1,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,VID_FRAME
10,6a7b1c.jpg,18,0.29492,167406252496,0.21466,0.16589,0,0.29492,1,1,0.41563,0.11546,1,0.38021,0.09167,0,,0.21263,0.59858,13.38607,1.2091,1,0.56422,0.57946,13.51687,1.19097,1,0,0,8,3.7248,1,3.89232,1,0,0,0,0,0,0,0,1,1,0,0,0,,0,0,0
10,6a7b1c.jpg,38,0.62402,167409544181,0.4157,0.14268,0.36133,0.2627,2,1,0.38502,0.25444,0,0.37552,0.095,0,,0.23454,0.60387,14.56746,1.17885,0,0.58889,0.59714,6.91919,1.19699,0,798,0,8,3.48031,0,2.56455,0,0,0,0,0,0,0,0,1,1,0,0,0,,387.00031,4.12708,0
10,6a7b1c.jpg,68,1.11719,167414468599,0.37588,0.52364,0.83887,0.27832,3,1,0.44873,0.57083,1,0.37552,0.095,0,,0.27116,0.64946,13.88861,1.09606,1,0.62162,0.64427,14.06095,1.08155,1,0,0,9,3.40279,1,3.49833,1,0,0,0,0,0,0,0,1,1,0,0,0,,463.50104,260.50568,0
10,6a7b1c.jpg,84,1.38086,167417111719,0.51404,0.49187,1.13379,0.24707,4,1,0.56235,0.49222,1,0.37552,0.095,0,,0.29668,0.63766,12.46284,1.12932,1,0.64753,0.64316,13.27511,1.16195,1,0,0,9,3.15516,1,3.20384,1,0,0,0,0,0,0,0,1,1,0,0,0,,267.9928,8.17851,0
10,6a7b1c.jpg,100,1.64453,167419741482,0.61947,0.45987,1.39746,0.24707,5,1,0.67622,0.37857,1,0.37552,0.095,0,,0.31079,0.63348,12.15497,1.24012,1,0.66019,0.63615,12.58482,1.25825,1,0,0,9,3.33234,1,3.53232,1,0,0,0,0,0,0,0,1,1,0,0,0,,206.03569,10.74133,0
10,6a7b1c.jpg,114,1.87402,167422039806,0.51145,0.44906,1.66113,0.21289,6,1,0.43767,0.52353,1,0.37552,0.095,0,,0.30942,0.66038,10.52334,1.1547,1,0.65557,0.66417,10.75747,1.1547,1,0,0,9,3.2199,1,3.48803,1,0,0,0,0,0,0,0,1,1,0,0,0,,207.80373,176.42102,0
10,6a7b1c.jpg,152,2.49707,167428269101,0.4528,0.48728,2.23535,0.26172,7,1,0.53974,0.45282,1,0.37552,0.095,0,,0.29514,0.71566,12.74056,1.23935,1,0.63856,0.71747,13.13761,1.25748,1,0,0,10,3.20831,1,3.37134,1,0,0,0,0,0,0,0,1,1,0,0,0,,121.58974,202.16054,0
10,6a7b1c.jpg,173,2.8418,167431718048,0.54995,0.47205,2.51367,0.32813,8,1,0.45818,0.1266,1,0.37552,0.095,0,,0.30098,0.71127,12.75247,1.25825,1,0.64207,0.71915,13.12175,1.27638,1,0,0,10,3.66984,1,3.70933,1,0,0,0,0,0,0,0,1,1,0,0,0,,187.42122,5.59597,0
10,6a7b1c.jpg,196,3.22168,167435514232,0.46539,0.11469,2.90918,0.3125,9,1,0.46361,0.11904,1,0.37552,0.095,0,,0.30594,0.73457,10.93629,1.22121,1,0.64844,0.73734,11.34529,1.20308,1,0,0,10,3.11618,1,3.04113,1,0,0,0,0,0,0,0,1,1,0,0,0,,458.53696,110.73661,0
10,6a7b1c.jpg,214,3.5166,167438469016,0.51212,0.11172,3.2373,0.2793,10,1,0.6084,0.07535,1,0.37552,0.095,0,,0.29441,0.74589,11.85294,1.25748,1,0.63406,0.73073,11.48878,1.25748,1,0,0,10,3.58609,1,4.02563,1,0,0,0,0,0,0,0,1,1,0,0,0,,89.79237,2.27474,0
