MEDIA_ID,MEDIA_NAME,CNT,TIME(2022/05/27 16:09:30.297),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,HRP,TTL0,TTL1,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,VID_FRAME,
30,2cb6b4.png,27,0.44141,171020297485,0.42728,0.22164,0.04883,0.39258,2,1,0.41035,0.26363,1,0.37500,0.06667,0,,0.37711,0.67223,14.46893,1.16329,1,0.69490,0.63387,16.76176,1.14832,1,0,0.00000,21,3.89257,1,4.54175,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,,0.00000,0.00000,0,
30,2cb6b4.png,42,0.68945,171022763343,0.43726,0.22928,0.45898,0.23047,3,1,0.45188,0.06429,1,0.38385,0.08083,0,,0.37674,0.66776,13.13047,1.11931,1,0.69253,0.62730,15.06220,1.11931,1,0,0.00000,21,4.44441,1,4.86714,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,,21.24187,334.43091,0,
30,2cb6b4.png,59,0.96875,171025558213,0.41087,-0.00134,0.75391,0.21484,4,1,0.37733,-0.04405,1,0.47500,0.14500,0,,0.37143,0.66511,12.06319,1.11792,1,0.68833,0.62619,14.42320,1.11792,1,0,0.00000,21,3.44847,1,5.01395,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,,281.34421,100.37532,0,
30,2cb6b4.png,89,1.46094,171030484701,0.39501,-0.02309,0.98438,0.47656,5,1,0.35416,-0.00426,1,0.73438,0.22583,0,,0.37211,0.66319,11.99858,1.05990,1,0.68938,0.62497,14.13730,1.05990,1,0,0.00000,21,3.42376,1,5.10298,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,,40.10591,139.39981,0,
30,2cb6b4.png,112,1.83789,171034263599,0.39271,-0.01884,1.47656,0.36133,6,1,0.44384,-0.01551,1,0.85260,0.26500,0,,0.37433,0.66755,12.15314,1.08891,1,0.69146,0.62822,14.95082,1.08891,1,0,0.00000,21,4.65418,1,4.91643,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,,6.74620,229.11119,0,
30,2cb6b4.png,132,2.16797,171037549966,0.42875,-0.00590,1.85547,0.31250,7,1,0.37599,0.16227,1,0.76719,0.12833,0,,0.36948,0.66862,13.26843,1.11977,1,0.68445,0.62564,15.06564,1.10480,1,0,0.00000,21,4.26471,1,4.87027,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,,70.91771,347.35217,0,
30,2cb6b4.png,151,2.47852,171040671001,0.35474,0.17870,2.23242,0.24609,8,1,0.34672,0.14305,1,0.76719,0.12750,0,,0.38088,0.66318,13.47727,1.16283,1,0.69715,0.62161,15.58048,1.14786,1,0,0.00000,21,4.05057,1,4.49112,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,,263.17923,237.32089,0,
30,2cb6b4.png,182,2.98828,171045765168,0.35536,0.18472,2.49609,0.49219,9,1,0.34783,0.24985,1,0.76719,0.12750,0,,0.41930,0.64915,14.03450,1.10434,1,0.73790,0.62101,15.66510,1.08937,1,0,0.00000,21,4.04642,1,4.58546,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,,7.32141,279.35760,0,
30,2cb6b4.png,203,3.33398,171049213409,0.39083,0.23056,3.00586,0.32813,10,1,0.42768,0.24548,1,0.76719,0.12750,0,,0.42747,0.65416,14.22233,1.10434,1,0.74680,0.62648,16.44282,1.08937,1,0,0.00000,21,4.08931,1,4.61225,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,,87.54325,321.07132,0,
30,2cb6b4.png,229,3.76172,171053484926,0.42637,0.22868,3.34961,0.41211,11,1,0.38978,0.19369,1,0.76719,0.12750,0,,0.43763,0.65290,13.39347,1.17779,1,0.75656,0.62949,15.61498,1.17779,1,0,0.00000,21,3.99222,1,4.44540,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,,68.27404,1.89360,0,
